Soil_Type,Soil_Thickness,SoilCol1,NVal,SoilCol2,SoilAvg,Actual Vs,Average Predict,VelProfES Pred
2,0.9,0.0,4,0.9,0.45,130,138.0,137.0
7,0.1,0.9,4,1.0,0.95,130,129.0,128.0
7,1.0,1.0,4,2.0,1.5,130,132.0,131.0
7,0.2,2.0,8,2.2,2.1,130,138.0,137.0
6,0.8,2.2,8,3.0,2.6,130,146.0,145.0
7,1.0,14.0,0,15.0,14.5,130,126.0,125.0
7,1.0,15.0,0,16.0,15.5,130,128.0,127.0
7,1.0,16.0,0,17.0,16.5,130,125.0,124.0
7,1.0,17.0,0,18.0,17.5,130,126.0,125.0
7,1.0,18.0,0,19.0,18.5,130,129.0,128.0
7,1.0,19.0,0,20.0,19.5,130,132.0,131.0
7,0.5,20.0,0,20.5,20.25,130,131.0,130.0
12,1.0,5.0,50,6.0,5.5,670,661.0,666.0
12,1.0,7.0,50,8.0,7.5,670,739.0,747.0
7,0.2,0.8,9,1.0,0.9,140,142.0,141.0
7,0.3,1.0,9,1.3,1.15,140,141.0,140.0
5,0.7,1.3,9,2.0,1.65,140,144.0,143.0
5,1.0,2.0,6,3.0,2.5,140,143.0,142.0
5,1.0,3.0,6,4.0,3.5,140,160.0,159.0
5,1.0,4.0,1,5.0,4.5,140,146.0,145.0
7,1.0,10.0,4,11.0,10.5,170,184.0,183.0
7,1.0,11.0,11,12.0,11.5,170,233.0,232.0
2,1.0,0.0,12,1.0,0.5,180,167.0,166.0
2,1.0,1.0,12,2.0,1.5,180,168.0,167.0
4,1.0,6.0,13,7.0,6.5,260,264.0,263.0
4,1.0,7.0,13,8.0,7.5,260,281.0,280.0
4,0.8,8.0,7,8.8,8.4,260,244.0,243.0
6,0.34,20.0,99,20.34,20.17,450,445.0,446.0
2,1.0,0.0,19,1.0,0.5,170,166.0,165.0
2,0.6,1.0,19,1.6,1.3,170,161.0,160.0
7,0.4,1.6,19,2.0,1.8,170,152.0,151.0
6,1.0,4.0,6,5.0,4.5,170,168.0,167.0
